@relation '6HumanCoded Dataset'

@attribute content string
@attribute pos numeric
@attribute neg numeric
@attribute Class {positive,neutral,mixed,negative}

@data
'when the time comes for all to know it will be to late',1,3,negative
'@princessofportk The first are a pair of devil horns, and the second look like a pair of cat or feline like ears',1,2,negative
'I gotta feeling they partlishly took it off fomr MIB anime ep form the american unless they took that one off from it, but the story is really different.',1,2,negative
'As we look at ways to be relevant, here is a good video perspective to consider (in order to avoid :) )',3,2,positive
'Not a lot of \"removing\" going on here... bucket teeth removal maybe.',1,2,negative
'I love looking at old gravestones',2,2,mixed
'@qingian they represent HK. but considering how their last names are spelled, i think they are from China. they don\'t get to represent China because they\'re not as good as Ma Long, Zhang Jike and Xu XIn.',1,2,negative
'@Invaderkibachan2 xD Okay! Um, I finished, but the whole thing is only about nine seconds, so I feel like it\'d be a waste to upload something so short as a video. Would it be possible for me to e-mail the file to you? Or upload it somewhere, and messa',2,2,mixed
'so THATS why they always tell you to wear a helmet; i always thought the concept of damaging the head via falling off a bike was very unlikely',2,2,mixed
'Haha at 4:00 Alex looks so frustrated at whoever is opening the door.',2,2,mixed
'Awwwwwww Matty Looks Adorablee<3 Cuteiee Vid Eulia NO MORE OF ME AND MATT PLEASE.! (;',4,3,positive
'I got an ocarina just to play this song. And now, i must learn it on flute.',2,2,mixed
'Pastor Morgan brought a powerful encouraging word to us in that service. I really enjoyed her. To GOD be the Glory!!!',4,1,positive
'if that was supposed to rhyme, it didn\'t',1,3,negative
'Absolutely awesome!! Impressive.',5,1,positive
'hahaha \'\'stinker\'\'',2,2,mixed
'kya baat hai! too sick!!',2,2,mixed
'I was waiting for tomorrow but i called today and they already have it since a few days. I am from Argentina (South America) i really dont know how it works i think they dont respect release dates. Next time i go i will make sure to ask and send you guys a voice mail.',2,2,mixed
'st. johns goes HARD! illmac! also check out this artist named Vinnie Dewayne.',2,2,mixed
'Yeah, because a minute and a half definitely equals 30 sec.',1,2,negative
'great guy but this wasnt a special video lets be honest',2,2,mixed
'Yea..the Senior CIA analyst during Saddam\'s Era is definitely not a credible source. He\'s the last person who should be commenting on Iraq. Anyways... I\'m done with this argument. Good Day sir.',2,3,negative
'Do anyone know if thats Jim Ryan in the background?',1,1,neutral
'yes i agree i had an 07 ego then switched to angel a1 and a kid at my local field had one and it shot smoother than my a1 wich i belive was about 40\% smoother than my ego now aday\'s all guns $ 300 and over will do 20bps out of the box its just how you like the feel of it thats why i went angel beacuse i love the way they feel,',3,2,positive
'loved the video joey it was awesome :O',4,1,positive
'@ChibiChanColors actually she reminds me of yuki from the melancholy of haruhi suzumiya.',1,1,neutral
'this is such a high quality game i cannot believe it. it is a lot greater than mw1. ive only just attained the 2nd prestige ! i\'m so delighted. got the game only yesterday evening from mw2forfreeYinfo (replace Y with . ) but im undoubtedly annihilating most people!',4,2,positive
'epic song fo sho',3,1,positive
'Poor Maddie!! :( Awesome chapter',3,3,mixed
'it sounds a bit like starn',1,1,neutral
'Awesome song Danger Danger rocks',3,1,positive
'This is my favorite song. He told me it\'s about his guitar.',3,1,positive
'reminds me of some of the old timers up here in the hills! awesome!',4,1,positive
'Hahahhahaha I did that same thing with my smog eyesalhadow! I put myself on a project \"hit pan\" like for a month I had to use only certian eyeshadows like ud\'s smog. I used it literally everyday in september and I got so obsessed like when am I going to hit pan it\'s been forever!! :P so anyways I totally feel ya and basically were both crazy. :)',3,2,positive
'i just love him.... a looooooooot..... he\'s the ideal one...',5,1,positive
'YOU ARE MOST WELCOME.... and if you have any questions, I am here to help.',4,1,positive
'infinite possibilities, thanks for postingone love :)',4,1,positive
'i love this!!!! way better then the original :D',5,2,positive
'were the fuck are the lyrics u suck man...but the song is great..SOAD forever',3,4,negative
'it\'s \"phenomenon\" by thousand foot krutch',2,1,positive
'Jeez I was starting to think you wouldn\'t post up my tage >.> lol thanks But I\'m not in the description :O',2,3,negative
'Ian gillan is the best........',3,1,positive
'looks like we\'re not guna see kenpachi 4 a couple more episodes',1,2,negative
'Everytime i bun 1, its this tune dat gets repeated! Peepz listen 2 what both are saying...',2,2,mixed
'CHocoolate! :D',4,1,positive
'oh my god . i was there & i just about died when he did that .',2,3,negative
'i eman 1st best 1 the 3rd 1, 2nd best is the 1st 1, 3rd best is the last 1.',2,1,positive
'@quartermasternick ',3,3,mixed
'jimmy carr mkes me happy, ill go and watch that now... u failed',3,2,positive
'i was able to get airpwn working. you really need three wirless card to be efficitve',2,2,mixed
lol,2,1,positive
'omg how old is the youngest one?shes really good at guitar :Dgreat job :D',4,1,positive
'@thetruthis9 then he fired jimmy johnson!',2,2,mixed
'fantastic quality thanks so much',4,1,positive
