word	POS	label	negative	neutral	positive
!-ah	interjection	positive	0.336	0.261	0.403
!-ahah	interjection	positive	0.088	0.286	0.626
!-ahaha	interjection	positive	0.053	0.216	0.731
!-ahahah	interjection	positive	0.066	0.268	0.666
!-ahahaha	interjection	positive	0.074	0.013	0.913
!-ahh	interjection	positive	0.081	0.288	0.631
!-ahhh	interjection	positive	0.17	0.005	0.825
!-ahhhh	interjection	positive	0.403	0.028	0.568
!-aight	interjection	positive	0.053	0.265	0.682
!-alright	interjection	positive	0.039	0.233	0.727
!-amo	interjection	positive	0.014	0.217	0.768
!-argh	interjection	negative	0.997	0	0.003
!-aw	interjection	neutral	0.257	0.454	0.289
!-awe	interjection	positive	0.222	0.299	0.479
!-awh	interjection	positive	0.262	0.296	0.442
!-aww	interjection	neutral	0.26	0.372	0.368
!-awww	interjection	positive	0.254	0.359	0.387
!-awwww	interjection	positive	0.206	0.316	0.477
!-bahaha	interjection	positive	0.08	0.244	0.676
!-bam	interjection	positive	0.125	0.298	0.577
!-bla	interjection	negative	0.498	0.227	0.275
!-both	interjection	positive	0.09	0.311	0.599
!-brb	interjection	positive	0.058	0.296	0.646
!-btw	interjection	positive	0.057	0.202	0.741
!-bye	interjection	neutral	0.209	0.414	0.377
!-c'mon	interjection	positive	0.121	0.32	0.559
!-ctfu	interjection	positive	0.223	0.373	0.404
!-dammit	interjection	negative	0.864	0.072	0.064
!-dang	interjection	negative	0.57	0.241	0.189
!-duh	interjection	positive	0.089	0.346	0.565
!-eh	interjection	positive	0.052	0.247	0.7
!-erm	interjection	positive	0.06	0.275	0.665
!-ew	interjection	negative	0.78	0.12	0.1
!-eww	interjection	negative	0.96	0.021	0.019
!-ffs	interjection	negative	0.556	0.225	0.219
!-fml	interjection	negative	0.893	0.055	0.052
!-forreal	interjection	positive	0.254	0.346	0.401
!-fyi	interjection	positive	0.073	0.306	0.621
!-gee	interjection	positive	0.169	0.359	0.472
!-geez	interjection	negative	0.436	0.273	0.291
!-goodluck	interjection	positive	0.032	0.229	0.738
!-goodmorning	interjection	positive	0.011	0.17	0.818
!-goodnight	interjection	positive	0.033	0.092	0.875
!-gosh	interjection	positive	0.3	0.346	0.354
!-gtfo	interjection	positive	0.191	0.292	0.517
!-hah	interjection	positive	0.052	0.245	0.702
!-hahaa	interjection	positive	0.051	0.016	0.934
!-hahah	interjection	positive	0.057	0.002	0.941
!-hahahaha	interjection	positive	0.068	0.003	0.929
!-hahahahah	interjection	positive	0.106	0.034	0.86
!-hahahahaha	interjection	positive	0.055	0.004	0.942
!-hahahahahaha	interjection	positive	0.266	0.028	0.706
!-hai	interjection	positive	0.056	0.3	0.644
!-hee	interjection	positive	0.173	0.266	0.562
!-heh	interjection	positive	0.036	0.233	0.731
!-hehe	interjection	positive	0.015	0	0.984
!-hehehe	interjection	positive	0.013	0.001	0.986
!-hello	interjection	positive	0.047	0.073	0.88
!-hey	interjection	positive	0.016	0.009	0.975
!-heyy	interjection	positive	0.012	0.006	0.981
!-hi	interjection	positive	0.03	0.096	0.873
!-hii	interjection	positive	0.049	0.087	0.864
!-hmmm	interjection	positive	0.019	0.014	0.967
!-hmmmm	interjection	positive	0.039	0.004	0.957
!-ho	interjection	positive	0.106	0.326	0.567
!-hoo	interjection	negative	0.633	0.143	0.224
!-huh	interjection	positive	0.07	0.326	0.604
!-ikr	interjection	positive	0.191	0.323	0.485
!-jeez	interjection	positive	0.292	0.336	0.372
!-jk	interjection	positive	0.094	0.219	0.688
!-kk	interjection	positive	0.079	0.343	0.578
!-lls	interjection	positive	0.041	0.326	0.632
!-lmaoo	interjection	positive	0.105	0.324	0.572
!-lmaooo	interjection	positive	0.053	0.309	0.638
!-lmbo	interjection	positive	0.088	0.311	0.6
!-lmfaoo	interjection	positive	0.116	0.323	0.562
!-lmfaooo	interjection	positive	0.128	0.352	0.521
!-lml	interjection	positive	0.089	0.326	0.586
!-loll	interjection	positive	0.063	0.296	0.641
!-lolol	interjection	positive	0.057	0.012	0.931
!-lololol	interjection	positive	0.059	0.04	0.901
!-lols	interjection	positive	0.072	0.315	0.613
!-lolz	interjection	positive	0.066	0.293	0.641
!-lool	interjection	positive	0.048	0.266	0.686
!-loool	interjection	positive	0.046	0.245	0.709
!-looool	interjection	positive	0.099	0.003	0.899
!-mmm	interjection	positive	0.009	0.003	0.989
!-my	interjection	positive	0.161	0.33	0.51
!-nah	interjection	positive	0.046	0.281	0.672
!-nahh	interjection	positive	0.157	0.316	0.527
!-naw	interjection	positive	0.194	0.373	0.433
!-nevermind	interjection	positive	0.101	0.332	0.567
!-no	interjection	neutral	0.329	0.526	0.146
!-nom	interjection	positive	0.108	0.315	0.577
!-noo	interjection	negative	0.899	0.064	0.037
!-nope	interjection	positive	0.091	0.376	0.533
!-nvm	interjection	positive	0.107	0.325	0.568
!-o	interjection	positive	0.069	0.36	0.571
!-ohh	interjection	positive	0.092	0.293	0.615
!-ohhh	interjection	positive	0.168	0.008	0.824
!-oi	interjection	positive	0.049	0.249	0.702
!-ok	interjection	positive	0.065	0.324	0.611
!-omfg	interjection	positive	0.331	0.028	0.641
!-omg	interjection	positive	0.415	0.111	0.474
!-oo	interjection	positive	0.031	0.233	0.736
!-ooh	interjection	positive	0.045	0.189	0.766
!-ooo	interjection	positive	0.036	0.232	0.733
!-oooh	interjection	positive	0.065	0.238	0.697
!-oops	interjection	positive	0.143	0.347	0.509
!-ouch	interjection	negative	0.858	0.084	0.058
!-ow	interjection	positive	0.2	0.352	0.447
!-p.s.	interjection	positive	0.149	0.268	0.583
!-ps	interjection	positive	0.062	0.264	0.674
!-rofl	interjection	positive	0.018	0.013	0.969
!-shalom	interjection	positive	0.026	0.171	0.803
!-sheesh	interjection	positive	0.306	0.321	0.373
!-stfu	interjection	positive	0.326	0.311	0.363
!-tf	interjection	negative	0.452	0.272	0.276
!-tov	interjection	positive	0.02	0.142	0.838
!-tsk	interjection	negative	0.371	0.292	0.338
!-ty	interjection	positive	0.038	0.136	0.827
!-ughh	interjection	negative	0.998	0	0.002
!-ughhh	interjection	negative	0.998	0	0.002
!-uh	interjection	positive	0.178	0.403	0.419
!-uhh	interjection	positive	0.227	0.359	0.414
!-uhm	interjection	positive	0.137	0.313	0.55
!-um	interjection	positive	0.082	0.342	0.576
!-umm	interjection	positive	0.087	0.332	0.58
!-ummm	interjection	positive	0.064	0.048	0.888
!-wah	interjection	positive	0.267	0.35	0.383
!-wassup	interjection	positive	0.051	0.295	0.654
!-welp	interjection	positive	0.25	0.345	0.404
!-wkwk	interjection	positive	0.036	0.301	0.663
!-wkwkwk	interjection	positive	0.018	0.286	0.696
!-woah	interjection	positive	0.12	0.329	0.55
!-woo	interjection	positive	0.019	0.118	0.863
!-woohoo	interjection	positive	0.011	0.092	0.897
!-woot	interjection	positive	0.009	0.08	0.91
!-wtf	interjection	negative	0.998	0.001	0.001
!-wth	interjection	negative	0.359	0.312	0.329
!-ya	interjection	positive	0.056	0.277	0.667
!-yah	interjection	positive	0.051	0.27	0.68
!-yeahh	interjection	positive	0.06	0.209	0.731
!-yeh	interjection	positive	0.094	0.3	0.607
!-yess	interjection	positive	0.049	0.136	0.815
!-yesss	interjection	positive	0.024	0.005	0.971
!-yh	interjection	positive	0.097	0.315	0.588
!-yo	interjection	positive	0.132	0.385	0.483
