words,polarity
abandon,Negative
abandonment,Negative
abate,Negative
abdicate,Negative
abhor,Negative
abide,Positive
ability,Positive
abject,Negative
able,Positive
abnormal,Negative
abolish,Negative
abominable,Negative
abound,Positive
abrasive,Negative
abrupt,Negative
abscond,Negative
absence,Negative
absent#1,Negative
absent-minded,Negative
absentee,Negative
absolve,Positive
absorbent,Positive
absorption,Positive
absurd,Negative
absurdity,Negative
abundance,Positive
abundant,Positive
abuse#1,Negative
abuse#2,Negative
abyss,Negative
accede,Positive
accentuate,Positive
accept,Positive
acceptable,Positive
acceptance,Positive
accessible,Positive
accession,Positive
accident,Negative
acclaim,Positive
acclamation,Positive
accolade,Positive
accommodate,Positive
accommodation,Positive
accompaniment,Positive
accomplish,Positive
accomplishment,Positive
accord#2,Positive
accord#3,Positive
accord#5,Positive
accordance,Positive
accost,Negative
accountable,Positive
accrue,Positive
accuracy,Positive
accurate,Positive
accurateness,Positive
accursed,Negative
accusation,Negative
accuse#1,Negative
accuse#2,Negative
ache,Negative
achieve,Positive
achievement,Positive
acknowledgement,Positive
acquaint,Positive
acquaintance,Positive
acquit,Positive
acquittal,Positive
acrimonious,Negative
acrimony,Negative
actual#1,Positive
actual#2,Positive
actuality,Positive
adamant,Positive
adaptability,Positive
adaptable,Positive
adaptation,Positive
adaptive,Positive
addict,Negative
addiction,Negative
adept,Positive
adeptness,Positive
adequate,Positive
adherence,Positive
adherent,Positive
adhesion,Positive
adhesive,Positive
adjunct,Positive
adjust#2,Positive
adjustable,Positive
adjustment,Positive
admirable,Positive
admiration,Positive
admire,Positive
admirer,Positive
admit#1,Positive
admit#2,Positive
admit#3,Positive
admittance,Positive
admonish,Negative
admonition,Negative
adorable,Positive
adore,Positive
adorn,Positive
adornment,Positive
adroit,Positive
adroitly,Positive
adulation,Positive
adult#2,Positive
adulterate,Negative
adulteration,Negative
adultery,Negative
advance#1,Positive
advance#2,Positive
advance#3,Positive
advancement,Positive
advantage,Positive
advantageous,Positive
advent,Positive
adventuresome,Positive
adventurous,Positive
adversary,Negative
adverse,Negative
adversity,Negative
advisable,Positive
advocacy,Positive
affability,Positive
affable,Positive
affectation,Negative
affection,Positive
affectionate,Positive
affiliate,Positive
affiliation,Positive
affinity,Positive
affirm,Positive
affirmation,Positive
affirmative,Positive
affix,Positive
afflict,Negative
affliction,Negative
affluence,Positive
affluent,Positive
afloat,Positive
afraid#2,Negative
against,Negative
aggravate,Negative
aggravation,Negative
aggregate,Positive
aggregation,Positive
aggression,Negative
aggressive,Negative
aggressiveness,Negative
aggressor,Negative
aggrieve,Negative
aghast,Negative
agile,Positive
agility,Positive
agitate,Negative
agitation,Negative
agitator,Negative
agonize,Negative
agony,Negative
agreeable,Positive
agreement,Positive
aid#1,Positive
aid#2,Positive
ail,Negative
ailment,Negative
aimless,Negative
alarm#2,Negative
alarming,Negative
alas,Negative
alertness,Positive
alibi,Negative
alien,Negative
alienate,Negative
alienation,Negative
alight,Positive
alive,Positive
allegation,Negative
allege,Negative
allegiance,Positive
alleviate,Positive
alliance,Positive
allied,Positive
allies,Positive
allow#1,Positive
allowable,Positive
allowance,Positive
allure,Positive
ally#1,Positive
almighty,Positive
aloof,Negative
altercation,Negative
altruistic,Positive
amazement,Positive
amazing,Positive
ambiguity,Negative
ambiguous,Negative
ambivalent,Negative
ambush#1,Negative
ambush#2,Negative
ameliorate,Positive
amenable,Positive
amenity,Positive
amiability,Positive
amiable,Positive
amicable,Positive
amiss,Negative
amnesty,Positive
amour,Positive
ample,Positive
amplify,Positive
amply,Positive
amputate,Negative
amuse,Positive
amusement,Positive
anarchist,Negative
anarchy,Negative
angel,Positive
angelic,Positive
anger#1,Negative
anger#2,Negative
angry,Negative
anguish,Negative
animosity,Negative
annihilate,Negative
annihilation,Negative
annoy,Negative
annoyance,Negative
anoint,Positive
anomalous,Negative
anomaly,Negative
antagonism,Negative
antagonist,Negative
antagonistic,Negative
antagonize,Negative
anti-social,Negative
antipathy,Negative
antiquated,Negative
antitrust,Negative
anxiety,Negative
anxious#2,Negative
anxious#3,Negative
anxiousness,Negative
apathetic,Negative
apathy,Negative
apocalypse,Positive
appall#1,Negative
appall#2,Negative
appeal#3,Positive
appease,Positive
append,Positive
applaud,Positive
applause,Positive
appoint#1,Positive
appoint#2,Positive
appreciable,Positive
appreciate,Positive
appreciation,Positive
appreciative,Positive
apprehend,Positive
apprehension,Negative
apprehensive,Negative
approach#1,Positive
approach#2,Positive
appropriate#1,Positive
approval,Positive
approve#1,Positive
approve#2,Positive
apt,Positive
aptitude,Positive
arbiter,Positive
arbitrary,Negative
arbitrate,Positive
arbitration,Positive
ardent,Positive
arduous,Negative
argue#1,Negative
argument#1,Negative
arisen,Positive
aristocracy,Positive
aristocrat,Positive
aristocratic,Positive
arrest#1,Negative
arrest#2,Negative
arrest#3,Positive
arrogance,Negative
arrogant,Negative
art#1,Positive
art#4,Positive
artificial,Negative
ascribe,Positive
ashamed,Negative
aspiration,Positive
aspire,Positive
assail,Negative
assailant,Negative
assassin,Negative
assassinate,Negative
assault#1,Negative
assault#2,Negative
assent,Positive
assertion,Positive
asset,Positive
assist#1,Positive
assist#2,Positive
assistance,Positive
assistant,Positive
associate#1,Positive
associate#2,Positive
associate#3,Positive
association#1,Positive
association#2,Positive
assurance,Positive
assure#1,Positive
assure#2,Positive
assure#3,Positive
assuredly,Positive
astound,Positive
astray,Negative
astute,Positive
asunder,Negative
athletic,Positive
atrocious,Negative
atrophy,Negative
attachment,Positive
attack#1,Negative
attack#2,Negative
attack#3,Negative
attain,Positive
attainment,Positive
attend#1,Positive
attendance,Positive
attentive,Positive
attract,Positive
attraction,Positive
attractive,Positive
attractiveness,Positive
attune,Positive
audacious,Negative
audacity,Negative
audible,Positive
augment,Positive
augmentation,Positive
auspicious,Positive
austere,Negative
authentic,Positive
authenticity,Positive
authoritative,Positive
authority,Positive
autocrat,Negative
autocratic,Negative
autonomous,Positive
availability,Positive
avarice,Negative
avaricious,Negative
avenge,Negative
aversion,Negative
avert,Negative
avid,Positive
avoid,Negative
avoidance,Negative
award#1,Positive
award#2,Positive
aware,Positive
awareness,Positive
awful#1,Negative
awkward,Negative
