inst#,actual,predicted,error,distribution,,
1,1:positive,1:positive,,*0.992,0.008,0
2,1:positive,1:positive,,*0.819,0.179,0.002
3,1:positive,1:positive,,*0.991,0.008,0.001
4,1:positive,1:positive,,*0.938,0.062,0
5,1:positive,1:positive,,*0.969,0.025,0.006
6,1:positive,1:positive,,*0.961,0.038,0.001
7,1:positive,1:positive,,*0.997,0.003,0
8,1:positive,2:neutral,+,0.35,*0.648,0.001
9,1:positive,1:positive,,*0.954,0.044,0.002
10,1:positive,1:positive,,*0.981,0.018,0.001
11,1:positive,1:positive,,*0.991,0.009,0
12,1:positive,1:positive,,*0.502,0.498,0.001
13,1:positive,2:neutral,+,0.251,*0.733,0.016
14,1:positive,1:positive,,*1,0,0
15,1:positive,1:positive,,*0.994,0.005,0.001
16,1:positive,1:positive,,*0.991,0.009,0
17,1:positive,1:positive,,*0.999,0,0.001
18,1:positive,2:neutral,+,0.027,*0.972,0.001
19,1:positive,2:neutral,+,0.38,*0.614,0.006
20,1:positive,1:positive,,*0.869,0.131,0
21,1:positive,1:positive,,*0.795,0.205,0
22,1:positive,1:positive,,*0.811,0.15,0.038
23,1:positive,1:positive,,*0.661,0.333,0.006
24,1:positive,1:positive,,*0.435,0.353,0.212
25,1:positive,1:positive,,*0.645,0.355,0
26,1:positive,1:positive,,*0.859,0.12,0.02
27,1:positive,2:neutral,+,0.065,*0.918,0.017
28,1:positive,1:positive,,*0.522,0,0.478
29,1:positive,2:neutral,+,0.038,*0.881,0.08
30,1:positive,2:neutral,+,0.376,*0.511,0.113
31,1:positive,1:positive,,*0.931,0.066,0.003
32,1:positive,2:neutral,+,0.271,*0.728,0.001
33,1:positive,1:positive,,*0.749,0.25,0.001
34,1:positive,2:neutral,+,0.103,*0.705,0.191
35,1:positive,1:positive,,*0.884,0.09,0.025
36,1:positive,1:positive,,*0.9,0.096,0.004
37,1:positive,1:positive,,*0.983,0.002,0.015
38,1:positive,1:positive,,*0.954,0.044,0.001
39,1:positive,1:positive,,*0.897,0.021,0.082
40,1:positive,2:neutral,+,0.321,*0.677,0.003
41,1:positive,1:positive,,*0.768,0.204,0.029
42,1:positive,2:neutral,+,0.058,*0.939,0.003
43,1:positive,1:positive,,*0.975,0.011,0.014
44,1:positive,1:positive,,*0.799,0.2,0.001
45,1:positive,1:positive,,*0.928,0.065,0.006
46,1:positive,1:positive,,*0.725,0.269,0.006
47,1:positive,1:positive,,*0.804,0.025,0.17
48,1:positive,2:neutral,+,0.024,*0.97,0.006
49,1:positive,2:neutral,+,0.338,*0.625,0.036
50,1:positive,1:positive,,*0.94,0.042,0.018
51,1:positive,1:positive,,*0.939,0.059,0.002
52,1:positive,2:neutral,+,0.465,*0.49,0.045
53,1:positive,2:neutral,+,0.247,*0.753,0
54,1:positive,1:positive,,*0.663,0.262,0.075
55,1:positive,3:negative,+,0.492,0.005,*0.504
56,1:positive,1:positive,,*1,0,0
57,1:positive,3:negative,+,0.215,0.312,*0.473
